,Неправильный вариант,Правильный вариант
3269,"Зюзинский райсуд Москвы прекратил уголовное дело в отношении дворника Бахрома Хуррамова, обвиняемого в умышленном нанесении травмы 12-летнему школьнику, в связи с примирением сторон. Дворник принес извинения мальчику, а его сторонники компенсировали причиненный ущерб. Хуррамов был освобожден в зале суда.","Зюзинский райсуд Москвы прекратил уголовное дело в отношении дворника Бахрома Хуррамова, обвиняемого в умышленном нанесении травмы 12-летнему школьнику, в связи с примирением сторон. Дворник принёс извинения мальчику, а его сторонники компенсировали причинённый ущерб. Хуррамов был освобождён в зале суда."
3270,Миланский «Интер» — предстоящий соперник казанского «Рубина» в Лиге Европы — одержал победу над «Торино» в матче третьего тура чемпионата Италии. Победу «неррадзури» принесли голы Диего Милито и Антонио Кассано.,Миланский «Интер» — предстоящий соперник казанского «Рубина» в Лиге Европы — одержал победу над «Торино» в матче третьего тура чемпионата Италии. Победу «нерадзурри» принесли голы Диего Милито и Антонио Кассано.
3271,"Google стал самым популярным технологичным брендом по результатам опроса американских потребителей от Langer Research Associates. Интернет-концерн обогнал корпорацию Apple и социальную сеть Facebook, набрав 82% положительных отзывов. Аутсайдером опроса является сервис микроблогов Twitter — 36% отрицательных отзывов против 34% положительных.","Google стал самым популярным технологичным брендом по результатам опроса американских потребителей от Langer Research Associates. Интернет-концерн обогнал корпорацию Apple и социальную сеть Facebook, набрав 82% положительных отзывов. Аутсайдером опроса является сервис микроблогов Twitter — 36% отрицательных отзывов против 34% положительных."
3272,"Moët Hennessy начнет производство в Китае шампанского из местного винограда. Потребление игристого в КНР стремительно растет. Эксперты не ислючают, что Китай может стать крупным винным экспортером.","Moët Hennessy начнёт производство в Китае шампанского из местного винограда. Потребление игристого в КНР стремительно растёт. Эксперты не исключают, что Китай может стать крупным винным экспортёром."
3273,Вишванатан Ананд и Борис Гельфанд сыграли вничью в первой партии матча за звание чемпиона мира по шахматам. Партия завершилась на 24-м ходу. Ничью предложил Гельфанд. Ананд возражать не стал.,Вишванатан Ананд и Борис Гельфанд сыграли вничью в первой партии матча за звание чемпиона мира по шахматам. Партия завершилась на 24-м ходу. Ничью предложил Гельфанд. Ананд возражать не стал.
3274,"Главный тренер «Барселоны» Тито Виланова вынужден покинуть свой пост, по крайней мере, на несколько месяцев. В настоящий момент специалист находится в больнице и будет проперирован в четверг по поводу рецидива раковой опухоли околоушной слюнной железы. «Барселона» отменила ряд официальных мероприятий.","Главный тренер «Барселоны» Тито Виланова вынужден покинуть свой пост, по крайней мере, на несколько месяцев. В настоящий момент специалист находится в больнице и будет прооперирован в четверг по поводу рецидива раковой опухоли околоушной слюнной железы. «Барселона» отменила ряд официальных мероприятий."
3275,"Структуры Олега Дерипаски отказались выкупать госдолю в ОАО «Аэропорт Анапы. Торги, на которые выставлялся блокпакет акций, отменили из-за отсутствия заявок. Единственным претендентом — даже при снижении цены — эксперты считают холдинг «Базовый элемент».","Структуры Олега Дерипаски отказались выкупать госдолю в ОАО «Аэропорт Анапы. Торги, на которые выставлялся блокпакет акций, отменили из-за отсутствия заявок. Единственным претендентом — даже при снижении цены — эксперты считают холдинг «Базовый элемент»."
3276,"Сервис микроблогов Twitter осенью этого года хочет запустить показ сериалов. Пользователи смогут смотреть их непосредственно на платформе ресурса через отдельную страничку или открывая видеоплеер нажатием на ссылку в твите. Экспансия соцсетей в телебизнес закономерна, считают эксперты.","Сервис микроблогов Twitter осенью этого года хочет запустить показ сериалов. Пользователи смогут смотреть их непосредственно на платформе ресурса через отдельную страничку или открывая видеоплеер нажатием на ссылку в твите. Экспансия соцсетей в телебизнес закономерна, считают эксперты."
3277,"Суд лишил водительских прав шофера Минобороны, который на BMW с мигалкой протаранил не пропускавшую его машину и скрылся с места ДТП. Это прецедент, когда водителя автомобиля со спецсигналом лишают прав.","Суд лишил водительских прав шофёра Минобороны, который на BMW с мигалкой протаранил не пропускавшую его машину и скрылся с места ДТП. Это прецедент, когда водителя автомобиля со спецсигналом лишают прав."
3278,"Инвестиции в основной капитал в 2012 году могут вырасти на 7–9%, что выше прежнего прогноза, считают в Минэкономразвития. Экономисты настроены пессимистичнее: в условиях нестабильности на внешних рынках компании не торопятся увеличивать инвестпрограммы.","Инвестиции в основной капитал в 2012 году могут вырасти на 7–9%, что выше прежнего прогноза, считают в Минэкономразвития. Экономисты настроены пессимистичнее: в условиях нестабильности на внешних рынках компании не торопятся увеличивать инвестпрограммы."
3279,"ФАС одобрила покупку производителя вакцин «Петровакс фарм» «Фармстандартом». На покупку компании претендовала также американская корпорация Abbott Laboratories, но из-за соображений национальной безопасности правительственная комиссия отказала в сделке. Мнения экспертов разделились. Одни считают, что так правительству легче будет контролировать стоимость и качество лекарственных препаратов, выпускаемых «Петровакс фарм», другие считают, что речь идет об обычной конкурентной борьбе.","ФАС одобрила покупку производителя вакцин «Петровакс фарм» «Фармстандартом». На покупку компании претендовала также американская корпорация Abbott Laboratories, но из-за соображений национальной безопасности правительственная комиссия отказала в сделке. Мнения экспертов разделились. Одни считают, что так правительству легче будет контролировать стоимость и качество лекарственных препаратов, выпускаемых «Петровакс фарм», другие считают, что речь идёт об обычной конкурентной борьбе."
3280,"Популярный музыкальный стриминговый сервис Spotify готовится к проведению первичного размещения акций, сообщает Reuters. Предположения об этом подогреваются тем, что компания открыла вакансию специалиста по внешней отчетности. Этот сервис был недавно зарегистрирован и в России, но доступ к нему пока закрыт.","Популярный музыкальный стриминговый сервис Spotify готовится к проведению первичного размещения акций, сообщает Reuters. Предположения об этом подогреваются тем, что компания открыла вакансию специалиста по внешней отчётности. Этот сервис был недавно зарегистрирован и в России, но доступ к нему пока закрыт."
3281,«Нью-Джерси» в родных стенах одержал победу над «Флоридой». Российский форвард «дьяволов» Илья Ковальчук оформил дубль и был признан второй звездой матча. «Питтсбург» с Евгением Малкиным проиграл «Рейнджерс». Семен Варламов из «Колорадо» сделал шатаут в матче с «Чикаго».,«Нью-Джерси» в родных стенах одержал победу над «Флоридой». Российский форвард «дьяволов» Илья Ковальчук оформил дубль и был признан второй звездой матча. «Питтсбург» с Евгением Малкиным проиграл «Рейнджерс». Семён Варламов из «Колорадо» сделал шатаут в матче с «Чикаго».
3282,"Фассбендер в Испании XV века, в машине завелся какой-то большой милый монстр, семья не может найти тормоза, а Луи Гаррель влюбился в Изабель Юппер — что посмотреть в кино с 5 января.","Фассбендер в Испании XV века, в машине завёлся какой-то большой милый монстр, семья не может найти тормоза, а Луи Гаррель влюбился в Изабель Юппер — что посмотреть в кино с 5 января."
3283,"Строители продолжили снос усадьбы архитектора Соколова в Электрическом переулке: экскаватор разрушил здание наполовину, работы были остановлены активистами-градозащитникам, а Мосгорнаследие уверено, что дом XIX века не является памятником.","Строители продолжили снос усадьбы архитектора Соколова в Электрическом переулке: экскаватор разрушил здание наполовину, работы были остановлены активистами-градозащитниками, а Мосгорнаследие уверено, что дом XIX века не является памятником."
3284,"Компания «Русгидро» приобрела блокпакет Красноярской ГЭС у СУЭК за 4,5% собственных акций. Теперь основному владельцу ГЭС — «Евросибэнерго» Олега Дерипаски — будет труднее продавать электроэнергию заводам «Русала» по низкой цене.","Компания «Русгидро» приобрела блокпакет Красноярской ГЭС у СУЭК за 4,5% собственных акций. Теперь основному владельцу ГЭС — «Евросибэнерго» Олега Дерипаски — будет труднее продавать электроэнергию заводам «Русала» по низкой цене."
3285,"«Ренессанс» потерял статус уполномоченного агента правительства Белоруссии по приватизационным сделкам. За два года работы компании не удалось довести до завершения ни одной сделки. Проблема не в работе инвестконсультанта, а в изменении приоритетов экономической политики Александра Лукашенко, считают его оппоненты.","«Ренессанс» потерял статус уполномоченного агента правительства Белоруссии по приватизационным сделкам. За два года работы компании не удалось довести до завершения ни одной сделки. Проблема не в работе инвестконсультанта, а в изменении приоритетов экономической политики Александра Лукашенко, считают его оппоненты."
3286,"На поверхность рынка крипто-валюты всплыл «биткоиновый кит» (Bitcoin Whale) и устроил настоящую панику среди владельцев и инвесторов новомодного денежного суррогата, обрушив рынок ниже $300. Цена биткоина упала до рекордно низкой отметки из-за единовременной продажи 31'000 монет и вывода в кэш $9,3 млн. в эти выходные.","На поверхность рынка криптовалюты всплыл «биткоиновый кит» (Bitcoin Whale) и устроил настоящую панику среди владельцев и инвесторов новомодного денежного суррогата, обрушив рынок ниже $300. Цена биткоина упала до рекордно низкой отметки из-за единовременной продажи 31'000 монет и вывода в кэш $9,3 млн. в эти выходные."
3287,"«Майами» прервал пятиматчевую безвыигрышную серию, дома обыграв «Лейкерс» и гарантировав себе место в плей-офф. Центровой «Денвера» Тимофей Мозгов вышел только в конце матча с «Финиксом», набрав шесть очков.","«Майами» прервал пятиматчевую безвыигрышную серию, дома обыграв «Лейкерс» и гарантировав себе место в плей-офф. Центровой «Денвера» Тимофей Мозгов вышел только в конце матча с «Финиксом», набрав шесть очков."
3288,"Несмотря на большое количество партийных брендов, участвовавших в воскресных выборах, многие региональные законодательные собрания будут состоять всего лишь из трех или даже двух фракций. Наибольшие потери в кампании понесла «Справедливая Россия», «Гражданская платформа» сумела преодолеть барьер только в двух регионах. Это произошло из-за применения спойлерских технологий, которые сделали партийную реформу бессмысленной.","Несмотря на большое количество партийных брендов, участвовавших в воскресных выборах, многие региональные законодательные собрания будут состоять всего лишь из трёх или даже двух фракций. Наибольшие потери в кампании понесла «Справедливая Россия», «Гражданская платформа» сумела преодолеть барьер только в двух регионах. Это произошло из-за применения спойлерских технологий, которые сделали партийную реформу бессмысленной."
3289,"Индийская компания Micromax выходит на российский рынок. Компания представила линейки смартфонов Сanvas и Bolt, планшет-трансформер с двумя операционными системами, а также ряд «фичафонов».","Индийская компания Micromax выходит на российский рынок. Компания представила линейки смартфонов Сanvas и Bolt, планшет-трансформер с двумя операционными системами, а также ряд «фичафонов»."
3290,"Автор дубля в ворота «Порту» Роман Широков самокритично отозвался о своей игре в матче Лиги чемпионов, признанной болельщиками «Зенита» блистательной. Форвард Александр Кержаков после матча не сожалел о незасчитанном арбитром голе и призывал репортеров искать позитивные моменты.","Автор дубля в ворота «Порту» Роман Широков самокритично отозвался о своей игре в матче Лиги чемпионов, признанной болельщиками «Зенита» блистательной. Форвард Александр Кержаков после матча не сожалел о не засчитанном арбитром голе и призывал репортеров искать позитивные моменты."
3291,"Социальная сеть Facebook – один из крупнейших каналов коммуникации и продаж в мире, однако энтузиазм рекламодателей по поводу эффективности рекламы в социальны сетях вообще и в Facebook'е, в частности, то увеличивается, то снова затухает. Неудивительно, что соцсеть регулярно проводит исследования на эту тему с крупнейшими аналитическими компаниями, такими, как Nielsen и Datalogix, и развивает инструменты измерения офлайновых продаж.","Социальная сеть Facebook – один из крупнейших каналов коммуникации и продаж в мире, однако энтузиазм рекламодателей по поводу эффективности рекламы в социальных сетях вообще и в Facebook'е, в частности, то увеличивается, то снова затухает. Неудивительно, что соцсеть регулярно проводит исследования на эту тему с крупнейшими аналитическими компаниями, такими, как Nielsen и Datalogix, и развивает инструменты измерения офлайновых продаж."
3292,«Милан» забил три безоветных мяча «Реджине» в поединке 1/8 финала Кубка Италии. В следующем круге соперником «россонери» станет «Ювентус».,«Милан» забил три безответных мяча «Реджине» в поединке 1/8 финала Кубка Италии. В следующем круге соперником «россонери» станет «Ювентус».
3293,"Microsoft и власти США провели успешную операцию по закрытию спамерской сети Rustock. Спамеры рекламировали поддельную «Виагру», фальшивые лотереи и нанесли колоссальный ущерб, говорят эксперты.","Microsoft и власти США провели успешную операцию по закрытию спамерской сети Rustock. Спамеры рекламировали поддельную «Виагру», фальшивые лотереи и нанесли колоссальный ущерб, говорят эксперты."
3294,"В половине областных центров, где 8 сентября пройдут выборы городских депутатов, списки «Единой России» возглавляют сами градоначальники. Исключением стали города, где введена система сити-менеджерства: там под первым номером идут областные чиновники. Эксперты считают, что мэры становятся «паровозами» списков партии власти для того, чтобы иметь при себе в будущем лояльные гордумы.","В половине областных центров, где 8 сентября пройдут выборы городских депутатов, списки «Единой России» возглавляют сами градоначальники. Исключением стали города, где введена система сити-менеджерства: там под первым номером идут областные чиновники. Эксперты считают, что мэры становятся «паровозами» списков партии власти для того, чтобы иметь при себе в будущем лояльные гордумы."
3295,"Бывшие члены КПРФ и новые коммунистические партии потребовали отставки Зюганова на «моральных основаниях». Столичное отделение КПРФ провело ответную конференцию, выразив доверие своему лидеру. В партии предполагают, что за организацией коммунистов-антизюгановцев стоит администрация президента.","Бывшие члены КПРФ и новые коммунистические партии потребовали отставки Зюганова на «моральных основаниях». Столичное отделение КПРФ провело ответную конференцию, выразив доверие своему лидеру. В партии предполагают, что за организацией коммунистов-антизюгановцев стоит администрация президента."
3296,"Бэнкси отреагировал на скандал с прослушкой телефонов изданиями Руперта Мердока, нарисовав карикатуру на жертву прослушки.","Бэнкси отреагировал на скандал с прослушкой телефонов изданиями Руперта Мёрдока, нарисовав карикатуру на жертву прослушки."
3297,Сборная России проиграла в экстратайме команде Польше на проходящем в Москве отборочном турнире к чемпионату мира-2013. Теперь россияне в 1/8 финала встретятся в среду со швейцарцами.,Сборная России проиграла в экстра-тайме команде Польши на проходящем в Москве отборочном турнире к Чемпионату мира-2013. Теперь россияне в 1/8 финала встретятся в среду со швейцарцами.
3298,"Российская «пляжница» Екатерина Хомякова рассказала о выходе в плей-офф, игре против ветра и британских трибун, олимпийском духе и поисках своей игры.","Российская «пляжница» Екатерина Хомякова рассказала о выходе в плей-офф, игре против ветра и британских трибун, олимпийском духе и поисках своей игры."
3299,"Президент Владимир Путин решил докапитализировать «Русгидро» из бюджета за счет 50 млрд рублей из дивидендов «Роснефтегаза». Кремль встал на сторону вице-премьера Аркадия Дворковича в споре с главой «Роснефти» Игорем Сечиным, который настаивал на прямом вхождении «Роснефтегаза» в капитал гидрогенерирующей компании. Но Сечину удалось отложить срок выплаты дивидендов «Роснефтегаза» до начала декабря.","Президент Владимир Путин решил докапитализировать «Русгидро» из бюджета за счёт 50 млрд рублей из дивидендов «Роснефтегаза». Кремль встал на сторону вице-премьера Аркадия Дворковича в споре с главой «Роснефти» Игорем Сечиным, который настаивал на прямом вхождении «Роснефтегаза» в капитал гидрогенерирующей компании. Но Сечину удалось отложить срок выплаты дивидендов «Роснефтегаза» до начала декабря."
3300,"Задержанному по делу об организации взрыва на территории телепроекта «Дом-2» предъявлены официальные обвинения. По предварительной версии, уроженец Сибири Сергей Ляпин решил таким образом отомстить одному из избивших его охранников телешоу.","Задержанному по делу об организации взрыва на территории телепроекта «Дом-2» предъявлены официальные обвинения. По предварительной версии, уроженец Сибири Сергей Ляпин решил таким образом отомстить одному из избивших его охранников телешоу."
3301,"Юникредитбанк вслед за «Ренессанс капиталом» продает почти 2% акций ММВБ-РТС. Продажу акций эксперты объясняют потребностью банка в дополнительном финансировании из-за кризиса в Европе и возможным снижением стоимости биржи к моменту IPO. Источники не исключают, что покупателем пакета Unicredit выступит фонд Da Vinci Capital.","Юникредитбанк вслед за «Ренессанс капиталом» продаёт почти 2% акций ММВБ-РТС. Продажу акций эксперты объясняют потребностью банка в дополнительном финансировании из-за кризиса в Европе и возможным снижением стоимости биржи к моменту IPO. Источники не исключают, что покупателем пакета Unicredit выступит фонд Da Vinci Capital."
3302,"Сбербанк и швейцарский Credit Suisse к концу года запустят инвестфонд объемом $1 млрд. Сбербанк будет заниматься поиском проектов для инвестиций, а Credit Suisse — управлять рисками и привлекать средства. Проект Сбербанка опоздал на 10 лет, скептичны эксперты.","Сбербанк и швейцарский Credit Suisse к концу года запустят инвестфонд объемом $1 млрд. Сбербанк будет заниматься поиском проектов для инвестиций, а Credit Suisse — управлять рисками и привлекать средства. Проект Сбербанка опоздал на 10 лет, скептичны эксперты."
3303,"Дабл-дабл Джереми Лина помог «Нью-Йорку» обыграть «Даллас», в составе которого самым результативным стал Дирк Новицки, набравший 34 очка. «Майами» на родном паркете переиграл «Орландо». Тимофей Мозгов набрал шесть очков, но «Денвер» уступил в овертайме «Оклахоме». Кевин Дюрант набрал 51 очко, Рассел Уэстбрук — 40.","Дабл-дабл Джереми Лина помог «Нью-Йорку» обыграть «Даллас», в составе которого самым результативным стал Дирк Новицки, набравший 34 очка. «Майами» на родном паркете переиграл «Орландо». Тимофей Мозгов набрал шесть очков, но «Денвер» уступил в овертайме «Оклахоме». Кевин Дюрант набрал 51 очко, Рассел Уэстбрук — 40."
3304,"Андрей Кириленко помог «Юте» обыграть на своем паркете «Детройт», принеся в копилку команды пятнадцать очков. «Майами» благодаря своему «супертрио» Джеймс-Уэйд-Бош поверг очередного соперника, которым на этот раз оказался «Шарлотт».","Андрей Кириленко помог «Юте» обыграть на своем паркете «Детройт», принеся в копилку команды пятнадцать очков. «Майами» благодаря своему «супер-трио» Джеймс-Уэйд-Бош поверг очередного соперника, которым на этот раз оказался «Шарлотт»."
3305,"Тренер Томаша Адамека Роджер Блудворт не считает Александра Поветкина чемпионом. Блудворт даже не знает, что значит «регулярный» титул россиянина. Адамек же не теряет надежд завоевать чемпионский пояс в супертяжелом весе.","Тренер Томаша Адамека Роджер Блудворт не считает Александра Поветкина чемпионом. Блудворт даже не знает, что значит «регулярный» титул россиянина. Адамек же не теряет надежд завоевать чемпионский пояс в супертяжёлом весе."
3306,"Шайба Ильи Ковальчука помогла «Нью-Джерси» обыграть «Оттаву». Павел Дацюк отметился двумя результативными передачами, принесшими победу «Детройту» в матче с «Финиксом». Илья Брызгалов сделал 25 «сейвов» во встрече с «Питтсбургом», завершившейся победой «Филадельфии». С одним броском Евгения Малкина, впрочем, Брызгалов не справился.","Шайба Ильи Ковальчука помогла «Нью-Джерси» обыграть «Оттаву». Павел Дацюк отметился двумя результативными передачами, принёсшими победу «Детройту» в матче с «Финиксом». Илья Брызгалов сделал 25 «сейвов» во встрече с «Питтсбургом», завершившейся победой «Филадельфии». С одним броском Евгения Малкина, впрочем, Брызгалов не справился."
3307,"Прибыль «Газпрома» за первый квартал сократилась почти на четверть по сравнению с прошлым годом, выручка от продажи газа — на 17%. Сказалось сокращение поставок в страны бывшего СССР и ретроскидки европейским партнерам. Всего «Газпром» должен вернуть своим европейским партнерам не менее $10 млрд.","Прибыль «Газпрома» за первый квартал сократилась почти на четверть по сравнению с прошлым годом, выручка от продажи газа — на 17%. Сказалось сокращение поставок в страны бывшего СССР и ретроскидки европейским партнёрам. Всего «Газпром» должен вернуть своим европейским партнёрам не менее $10 млрд."
3308,"«Лацио» во второй раз в сезоне победил «Рому», 80 минут игравшей в меньшинстве. После матча защитник «волков» Жуан обвинил фанатов «бьянкочелести» в расизме. «Интер» ушел от поражения в матче с «Катанией».","«Лацио» во второй раз в сезоне победил «Рому», 80 минут игравшую в меньшинстве. После матча защитник «волков» Жуан обвинил фанатов «бьянкочелести» в расизме. «Интер» ушёл от поражения в матче с «Катанией»."
3309,"Компания GoPro выпускает камеры высокого разрешения, предназначенные для экшн-съемок. Если вы смотрите видео, снятое с головы парашютиста или с капота гоночного автомобиля, эта съемка наверняка была выполнена с помощью камеры GoPro. В ходе IPO на бирже в Нью-Йорке компания привлекла $427,2 млн.","Компания GoPro выпускает камеры высокого разрешения, предназначенные для экшн-съёмок. Если вы смотрите видео, снятое с головы парашютиста или с капота гоночного автомобиля, эта съемка наверняка была выполнена с помощью камеры GoPro. В ходе IPO на бирже в Нью-Йорке компания привлекла $427,2 млн."
3310,"В Верховной раде Украины произошла беспрецедентная по своей жестокости драка. После того как бютовцы заблокировали Раду и заявили о намерении переночевать там, несколько десятков регионалов ворвались в зал и затеяли силовое изгнание оппозиции при помощи стульев. Поздно вечером президент Украины Виктор Янукович позвонил своему российскому коллеге Дмитрию Медведеву, а депутаты от БЮТ сняли побои.","В Верховной раде Украины произошла беспрецедентная по своей жестокости драка. После того как бютовцы заблокировали Раду и заявили о намерении переночевать там, несколько десятков регионалов ворвались в зал и затеяли силовое изгнание оппозиции при помощи стульев. Поздно вечером президент Украины Виктор Янукович позвонил своему российскому коллеге Дмитрию Медведеву, а депутаты от БЮТ сняли побои."
3311,"«Локомотив» в Черкизове сыграл вничью с «Тереком». Железнодорожники открыли счет уже на четвертой минуте, прервав четырехматчевую безголевую серию, однако «Терек» отыгрался уже через три минуты. На матче присутствовал президент РЖД Владимир Якунин, а фанаты «Локо» весь матч оскорбляли президента клуба Ольгу Смородскую.","«Локомотив» в Черкизове сыграл вничью с «Тереком». Железнодорожники открыли счёт уже на четвёртой минуте, прервав четырёхматчевую безголевую серию, однако «Терек» отыгрался уже через три минуты. На матче присутствовал президент РЖД Владимир Якунин, а фанаты «Локо» весь матч оскорбляли президента клуба Ольгу Смородскую."
3312,"Российские экипажи заняли первое и второе места в соревнованиях четверок на этапе Кубка мира по бобслею, проходившем на олимпийской трассе в Уистлере. На другой олимпийской трассе, в Солт-Лейк-Сити, победу на этапе Кубка мира по фристайлу одержал могулист Сергей Волков. Бронзовым призером стал его брат Андрей.","Российские экипажи заняли первое и второе места в соревнованиях четвёрок на этапе Кубка мира по бобслею, проходившем на олимпийской трассе в Уистлере. На другой олимпийской трассе, в Солт-Лейк-Сити, победу на этапе Кубка мира по фристайлу одержал могулист Сергей Волков. Бронзовым призёром стал его брат Андрей."
3313,"Сборная России заняла пятое место в смешанной эстафете на чемпионате мира в Рупольдинге. Первой финишировала команда Словении, однако победу присудили норвежцам из-за незакрывшейся по технической причине мишени.","Сборная России заняла пятое место в смешанной эстафете на чемпионате мира в Рупольдинге. Первой финишировала команда Словении, однако победу присудили норвежцам из-за не закрывшейся по технической причине мишени."
